35°W,Time Period,File Name
RV Meteor M14/2,Oct-90,m142_35w.mat
RV Meteor M16/3,Jun-91,m163_35w.mat
RV Meteor M22/2,Nov-92,m222_35w.mat
RV L’Atalante - CITHER 1,Feb-93,cither1_35w.mat
RV Meteor M27/3,Mar-94,m273_35w.mat
RV Le Noroit - ETAMBOT 1,Sep-95,etambot1_35w.mat
RV Edwin A. Link ETAMBOT 2,Apr-96,etambot2_35w.mat
RV La Thalassa - Equalant 99,Aug-99,eq99_35w.mat
RV Meteor M47/1,Mar-00,m471_35w.mat
RV Sonne S152,Nov-00,s152_35w.mat
RV Oceanus OC365/4,Mar-01,stc01_35w.mat
RV Ron Brown 0201,Feb-02,stc02_35w.mat
RV Meteor M53/2,May-02, m532_35w.mat
RV Sonne S171,May-03,s171_35w.mat
RV Meteor M62/2,Aug-04,m622_35w.mat
RV Meteor M68/2,Jun-06,m682_35w.mat
